,modelli,colori
0,IR 12030SI 321,['C1675']
1,CP 10067CI 322,['C1199']
2,IO 12022SI 321,"['C1515', 'C1640']"
3,LX 10076BS 322,"['C1533', 'C1199', 'C2101', 'C1515', 'C1370']"
4,CP 10068CI 322,['C1590']
5,EJ 10074BS 322,['C1199']
6,IR 10035CI 321,"['C1590', 'C1150', 'C1199']"
7,LX 10075BS 322,"['C1533', 'C2101', 'C1370', 'C1199']"
8,EJ 10081BS 322,['C1199']
9,CP 10066CI 322,"['C1559', 'C1350']"
10,CP 10073CI 322,['C1199']
11,IR 12025SI 321,"['C1250', 'C1190']"
12,IR 10036CI 321,"['C1199', 'C1590']"
13,IR 12031SI 321,['C1470']
14,CP 10071CI 322,"['C1150', 'C1470', 'C1270', 'C1590']"
15,IR 10063CI 322,"['C1590', 'C1199']"
16,EJ 10080BS 322,['C1199']
17,CP 10065CI 322,['C1590']
18,EJ 10078BS 322,['C1370']
19,IR 12029SI 321,['C1299']
20,LX 10077BS 322,"['C1533', 'C1199', 'C2101', 'C1515', 'C1370']"
21,IR 12027SI 321,['C1299']
22,CP 10069CI 322,['C1199']
23,IR 12026SI 321,['C1299']
24,IR 10062CI 322,"['C1590', 'C1199']"
25,CP 10072CI 322,['C1590']
