status,visibility,sku,store_view_code,attribute_set_code,product_type,product_websites,url_key,name,description,short_description,product_online,price,special_price,special_price_from_date,special_price_to_date,qty,is_in_stock,tax_class_id,categories,configurable_variation_labels,additional_attributes,configurable_variations
1,Not Visible Individually,A009604-PZ,,Default,simple,base,SCIARPA-LEGGERA-60-X-180-BORDEAUX-A009604-PZ,SCIARPA LEGGERA 60 X 180 BORDEAUX,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1675,sys_color_description=BORDEAUX,sys_color_hex=752534,sys_modello=IR 12030SI 321,sys_size=PZ,composizione=100% POLIESTERE,gruppo_articoli=AC-ACCESSORI,variante=SI,campagna_acquisti=AI21,cod=IR 12030SI 321-C1675-PZ,sys_barcode=2100037465013",
1,"Catalog, Search",A009604,,Default,configurable,base,SCIARPA-LEGGERA-60-X-180-BORDEAUX-A009604,SCIARPA LEGGERA 60 X 180 BORDEAUX,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1675,sys_color_description=BORDEAUX,sys_color_hex=752534,sys_modello=IR 12030SI 321,sys_size=PZ,composizione=100% POLIESTERE,gruppo_articoli=AC-ACCESSORI,variante=SI,campagna_acquisti=AI21,cod=IR 12030SI 321-C1675,sys_barcode=2100037465013","sku=A009604-PZ,sys_size=PZ"
1,Not Visible Individually,A011453-IV,,Default,simple,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453-IV,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=IV,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199-IV,sys_barcode=2100039314043",
1,Not Visible Individually,A011453-I,,Default,simple,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453-I,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=I,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199-I,sys_barcode=2100039314012",
1,Not Visible Individually,A011453-II,,Default,simple,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453-II,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=II,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199-II,sys_barcode=2100039314029",
1,Not Visible Individually,A011453-III,,Default,simple,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453-III,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=III,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199-III,sys_barcode=2100039314036",
1,Not Visible Individually,A011453-V,,Default,simple,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453-V,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=V,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199-V,sys_barcode=2100039314050",
1,"Catalog, Search",A011453,,Default,configurable,base,CINTURA-CON-FIBBIA-ROTONDA-NERO-A011453,CINTURA CON FIBBIA ROTONDA NERO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=CP 10067CI 322,sys_size=V,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10067CI 322-C1199,sys_barcode=2100039314043|2100039314012|2100039314029|2100039314036|2100039314050","sku=A011453-IV,sys_size=IV|sku=A011453-I,sys_size=I|sku=A011453-II,sys_size=II|sku=A011453-III,sys_size=III|sku=A011453-V,sys_size=V"
1,Not Visible Individually,A009590-PZ,,Default,simple,base,SCIARPA-PIED-DE-POULE-GEOMETRICO-LANA-VISCOSA-32-X-190-CM-ROSSO-A009590-PZ,SCIARPA PIED DE POULE GEOMETRICO LANA VISCOSA 32 X 190 CM ROSSO,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1640,sys_color_description=ROSSO,sys_color_hex=ad0000,sys_modello=IO 12022SI 321,sys_size=PZ,composizione=53% VISCOSA 35% LANA 9% NYLON 2% POLIESTERE 1% ACRILICO,gruppo_articoli=AC-ACCESSORI,variante=SI,campagna_acquisti=AI21,cod=IO 12022SI 321-C1640-PZ,sys_barcode=2100037451016",
1,"Catalog, Search",A009590,,Default,configurable,base,SCIARPA-PIED-DE-POULE-GEOMETRICO-LANA-VISCOSA-32-X-190-CM-ROSSO-A009590,SCIARPA PIED DE POULE GEOMETRICO LANA VISCOSA 32 X 190 CM ROSSO,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1640,sys_color_description=ROSSO,sys_color_hex=ad0000,sys_modello=IO 12022SI 321,sys_size=PZ,composizione=53% VISCOSA 35% LANA 9% NYLON 2% POLIESTERE 1% ACRILICO,gruppo_articoli=AC-ACCESSORI,variante=SI,campagna_acquisti=AI21,cod=IO 12022SI 321-C1640,sys_barcode=2100037451016","sku=A009590-PZ,sys_size=PZ"
